Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Finland,,1.0,7.632,,,,,,,0.202,,,,,,,,,,,,1.0,Finland,7.632,1.305,1.592,0.874,0.681,0.393
Norway,,2.0,7.594,,,,,,,0.286,,,,,,,,,,,,2.0,Norway,7.594,1.456,1.582,0.861,0.686,0.34
Denmark,,3.0,7.555,,,,,,,0.284,,,,,,,,,,,,3.0,Denmark,7.555,1.351,1.59,0.868,0.683,0.408
Iceland,,4.0,7.495,,,,,,,0.353,,,,,,,,,,,,4.0,Iceland,7.495,1.343,1.644,0.914,0.677,0.138
Switzerland,,5.0,7.487,,,,,,,0.256,,,,,,,,,,,,5.0,Switzerland,7.487,1.42,1.549,0.927,0.66,0.357
Netherlands,,6.0,7.441,,,,,,,0.333,,,,,,,,,,,,6.0,Netherlands,7.441,1.361,1.488,0.878,0.638,0.295
Canada,,7.0,7.328,,,,,,,0.321,,,,,,,,,,,,7.0,Canada,7.328,1.33,1.532,0.896,0.653,0.291
New Zealand,,8.0,7.324,,,,,,,0.365,,,,,,,,,,,,8.0,New Zealand,7.324,1.268,1.601,0.876,0.669,0.389
Sweden,,9.0,7.314,,,,,,,0.285,,,,,,,,,,,,9.0,Sweden,7.314,1.355,1.501,0.913,0.659,0.383
Australia,,10.0,7.272,,,,,,,0.361,,,,,,,,,,,,10.0,Australia,7.272,1.34,1.573,0.91,0.647,0.302
United Kingdom,,11.0,7.19,,,,,,,0.262,,,,,,,,,,,,11.0,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.082
Austria,,12.0,7.139,,,,,,,0.242,,,,,,,,,,,,12.0,Austria,7.139,1.341,1.504,0.891,0.617,0.224
Costa Rica,,13.0,7.072,,,,,,,0.143,,,,,,,,,,,,13.0,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.101
Ireland,,14.0,6.977,,,,,,,0.307,,,,,,,,,,,,14.0,Ireland,6.977,1.448,1.583,0.876,0.614,0.306
Germany,,15.0,6.965,,,,,,,0.273,,,,,,,,,,,,15.0,Germany,6.965,1.34,1.474,0.861,0.586,0.28
Belgium,,16.0,6.927,,,,,,,0.188,,,,,,,,,,,,16.0,Belgium,6.927,1.324,1.483,0.894,0.583,0.24
Luxembourg,,17.0,6.91,,,,,,,0.196,,,,,,,,,,,,17.0,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.321
United States,,18.0,6.886,,,,,,,0.291,,,,,,,,,,,,18.0,United States,6.886,1.398,1.471,0.819,0.547,0.133
Israel,,19.0,6.814,,,,,,,0.354,,,,,,,,,,,,19.0,Israel,6.814,1.301,1.559,0.883,0.533,0.272
United Arab Emirates,,20.0,6.774,,,,,,,0.186,,,,,,,,,,,,20.0,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,
Czech Republic,,21.0,6.711,,,,,,,0.064,,,,,,,,,,,,21.0,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.034
Malta,,22.0,6.627,,,,,,,0.376,,,,,,,,,,,,22.0,Malta,6.627,1.27,1.525,0.884,0.645,0.142
France,,23.0,6.489,,,,,,,0.098,,,,,,,,,,,,23.0,France,6.489,1.293,1.466,0.908,0.52,0.176
